url,rank,page_size_kb,total_byte_weight,load_time_s,response_time_s,num_requests,speed_index,dom_size,num_domains
https://logosklogos.com/,100000,977.71,1001179.0,4.484,0.977,28,4415.0,550,6
https://id.images.search.yahoo.com/,50000,259.14,265355.0,4.47,1.098,12,2912.0,70,4
https://gcash.com/,100000,4395.12,4500606.0,14.131,0.772,101,13402.0,1055,23
https://www.letrot.com/,10000,8871.69,9084610.0,119.399,1.702,272,17853.0,1625,22
https://dito.ph/,100000,7029.82,7198538.0,18.331,1.055,161,5620.0,990,41
https://dashingdiva.com/,100000,44753.82,45827915.0,67.584,0.836,435,10049.0,4609,70
https://xxxflix.site/,50000,745.36,763246.0,11.208,0.775,74,3782.0,409,30
https://politikus.info/,50000,2409.05,2466866.0,51.024,1.118,453,3858.0,617,95
https://www.adslzone.net/,50000,467.87,479102.0,3.208,0.764,45,2560.0,2292,3
https://ssstik.io/,1000,1676.85,1717092.0,9.411,0.47,59,1744.0,416,13
https://highway.com/,50000,2837.72,2905826.0,11.519,0.736,97,3510.0,486,36
https://gp12345.com/,10000,820.94,840639.0,10.603,0.585,64,5136.0,197,15
https://ns.aeontohoku.net/,100000,5455.42,5586345.0,20.238,2.636,107,10040.0,6108,18
https://wbutiq.com/,50000,10.04,10276.0,1.99,0.565,5,1400.0,97,2
https://www.century21.fr/,100000,1187.09,1215583.0,9.195,1.196,23,4041.0,711,8
https://qeducation.edu.gov.qa/,100000,3113.17,3187887.0,7.502,1.303,89,7605.0,342,4
https://www.netralnews.com/,50000,2884.51,2953742.0,17.842,1.493,144,9085.0,1374,20
https://sis.cbe.ab.ca/,100000,359.06,367675.0,3.432,1.387,17,3762.0,107,1
https://student.nielit.gov.in/,50000,1357.7,1390289.0,16.609,1.827,48,13205.0,76,2
https://www.nissanusa.com/,50000,5900.25,6041861.0,29.008,1.032,241,6428.0,3745,77
https://chelny-izvest.ru/,100000,5192.37,5316990.0,31.072,2.385,316,12000.0,1112,75
https://www.my99exch.black/,100000,1634.47,1673693.0,5.113,0.521,35,5356.0,68,5
https://www.manualslib.com/,5000,1563.73,1601259.0,14.487,1.08,100,4115.0,615,16
https://elearning.samsungenglish.com/,50000,996.4,1020317.0,8.086,2.711,24,5720.0,83,2
https://www.antai.gouv.fr/,100000,1230.02,1259543.0,8.732,1.158,47,4732.0,664,3
https://taiav.com/,50000,3573.67,3659436.0,13.159,0.591,165,9630.0,1426,31
https://www.photos18.com/,50000,1123.92,1150895.0,4.514,0.394,42,2986.0,1703,5
https://customerservice2.southerncompany.com/,100000,2903.97,2973670.0,16.559,1.225,74,12059.0,394,13
https://www.statnews.com/,100000,3764.67,3855022.0,26.915,0.534,229,4232.0,3011,56
https://jysk.se/,50000,4224.31,4325693.0,19.096,0.771,101,10662.0,3649,13
https://www.okbet.com/,50000,54903.35,56221032.0,51.509,0.911,654,27923.0,220,21
https://cookien.com/,50000,2020.17,2068650.0,9.205,0.888,94,3544.0,1823,12
https://www.manhwatoon.me/,100000,2008.93,2057142.0,5.755,1.215,77,3956.0,1013,9
https://www.oneprep.xyz/,100000,1835.35,1879403.0,10.405,0.519,67,9258.0,180,6
https://m.olimpiaresorts.com.br/,100000,7054.52,7223828.0,6.008,0.584,62,4822.0,248,11
https://5gbet51.com/,50000,2103.57,2154055.0,14.718,0.928,115,10959.0,354,23
https://cecotec.pt/,100000,62631.18,64134330.0,19.73,1.554,190,13079.0,3132,15
https://mainichikirei.jp/,50000,3232.88,3310471.0,34.323,1.261,393,15030.0,607,126
https://www.merkury.hr/,100000,2977.73,3049196.0,9.58,0.728,242,5450.0,3969,5
https://www.zaobao.com.sg/,50000,8978.49,9193978.0,67.068,0.986,501,14040.0,1451,133
https://parizske.cz/,100000,18232.67,18670253.0,35.949,0.679,290,28479.0,3768,51
https://apps.ue.edu.ph/,100000,5821.47,5961186.0,15.017,2.392,69,8291.0,309,7
https://www.nocta.com/,100000,23653.23,24220904.0,45.97,0.765,438,22394.0,1582,81
https://www.italiamilitare.it/,100000,2487.58,2547286.0,11.508,1.588,82,5257.0,1383,7
https://www.sakuhentai.net/,50000,2531.85,2592615.0,14.113,0.893,55,5200.0,854,7
https://www.vladcazino.ro/,100000,7690.31,7874874.0,27.817,1.795,350,5959.0,1967,8
https://www.websitebokep-id.online/,100000,464.07,475210.0,4.474,1.153,21,4084.0,957,7
https://online.bnovo.ru/,50000,786.07,804931.0,8.277,1.546,38,4804.0,142,6
https://kantotplus.com/,50000,1284.59,1315423.0,3.55,0.565,27,2963.0,354,6
https://espace-client.orange.fr/,50000,2361.52,2418193.0,17.438,1.632,88,6931.0,171,19
https://hindifucktube.com/,50000,391.74,401143.0,3.62,1.119,22,3213.0,698,6
https://eventossistema.com.mx/,10000,3531.75,3616517.0,6.363,1.157,6,3631.0,30,1
https://www.jwnetweb.jp/,100000,268.27,274713.0,6.53,2.41,26,5526.0,108,1
https://deyga.in/,100000,8951.19,9166017.0,52.39,1.934,456,42198.0,14089,50
https://www.tokyo-sports.co.jp/,5000,3572.09,3657821.0,128.137,1.105,2409,43968.0,3388,361
https://hokkai.hostlove.com/,50000,3093.84,3168096.0,17.409,1.839,107,9684.0,2271,24
https://phpennsylvania.com/,100000,0.02,19.0,1.418,1.052,2,1800.0,4,1
https://www.suomenmaa.fi/,50000,2010.21,2058458.0,12.904,1.008,65,4579.0,1654,18
https://trpeza.alo.rs/,50000,3048.56,3121726.0,22.783,2.018,281,9161.0,1523,100
https://pornxo.xxx/,50000,275.18,281788.0,4.179,1.402,33,4229.0,1838,3
https://smovilidad.edomex.gob.mx/,100000,25083.76,25685768.0,29.558,0.945,90,10429.0,406,4
https://mingle2.com/,50000,1651.93,1691577.0,6.133,0.623,49,2942.0,990,14
https://wizardofozslots.zynga.com/,100000,1997.37,2045302.0,10.492,0.948,64,3070.0,864,11
https://lr.chat.shalove.net/,50000,645.97,661478.0,11.053,1.781,56,5907.0,222,24
https://www.mecatechnic.com/,100000,2180.3,2232626.0,12.795,2.085,132,10474.0,1651,22
https://www.landsearch.com/,100000,529.9,542622.0,3.219,0.393,28,1732.0,685,6
https://www.ehja858.net/,50000,73.89,75668.0,5.287,1.265,11,5262.0,37,1
https://hr.xhamster44.desi/,100000,2095.75,2146049.0,12.129,1.217,178,4619.0,2442,12
https://yug.today/,100000,1044.69,1069767.0,6.683,1.311,51,6505.0,1034,8
https://jumbo.com.do/,100000,10879.81,11140926.0,24.804,0.648,429,11600.0,6301,31
https://888pg.com/,100000,2162.68,2214587.0,19.81,0.789,118,13146.0,360,23
https://juggler.ro/,50000,2768.43,2834875.0,13.113,1.495,127,5820.0,1971,25
https://www.eurocupid.com/,50000,1990.55,2038322.0,11.445,0.884,75,4287.0,921,26
https://www.zulily.com/,100000,8503.04,8707115.0,32.647,0.584,361,19783.0,1588,59
https://poczta.o2.pl/,5000,1507.57,1543753.0,23.857,2.304,78,14535.0,254,11
https://psauction.se/,50000,3509.39,3593612.0,16.685,2.1,161,7378.0,3359,31
https://mis.mznn.ru/,50000,2546.34,2607456.0,24.322,2.336,218,7235.0,631,57
https://kormanyhivatalok.hu/,100000,5944.69,6087360.0,13.993,1.434,260,9804.0,1409,9
https://pixhentai.com/,10000,1570.33,1608022.0,13.356,0.661,86,9230.0,741,19
https://aviator.5zcq7q.com/,100000,1174.76,1202959.0,4.803,0.886,8,2203.0,26,1
https://olymp4-kz.win/,100000,5114.97,5237729.0,23.78,1.178,183,12966.0,1337,19
https://fr.tennistemple.com/,50000,3074.08,3147863.0,87.199,1.499,2753,6715.0,890,326
https://login.vodafone.co.uk/,100000,1766.73,1809136.0,16.005,1.346,90,10414.0,292,23
https://luna80546.com/,50000,8839.35,9051495.0,9.79,1.107,110,5115.0,840,12
https://testzone.smartkeeda.com/,100000,1662.28,1702170.0,8.574,1.504,64,6174.0,897,12
https://www.tokyometro.jp/,50000,11162.91,11430819.0,21.712,2.019,333,4879.0,2353,8
https://ttkm.06789bet.com/,50000,3063.05,3136560.0,8.299,1.129,32,6923.0,168,6
https://pantip.com/,10000,2103.42,2153901.0,10.715,2.033,100,6822.0,1880,8
https://www.lectio.dk/,5000,986.93,1010614.0,6.005,1.304,14,4025.0,78,1
https://remaker.ai/,10000,7891.12,8080508.0,24.528,0.553,104,4817.0,581,19
